Dates,ABR,AMZN,GS,NFLX,NIO,NVDA,TSLA,UBS
2021-02-01,-0.011845321411410764,0.015982466077277338,0.0070469059678485504,0.008632366697848518,-0.04724507138001368,0.0029270711173404306,0.016274153104872426,0.006194081211286983
2021-02-02,0.01419461016251793,-0.0003264705882353316,0.01702553830746116,0.02506979237922694,-0.016052631578947353,0.0025373134328358464,0.03936444486494168,0.006793478260869541
2021-02-03,0.001272727272727297,-0.006971580556906312,0.0032409827496079693,-0.01176063645797288,0.04307650862068963,0.00046755275553590796,-0.009873837473047159,0.0023584905660377453
2021-02-04,0.03479729729729721,-0.0015823070397622983,0.014104882459312934,-0.0019353055017969857,-0.02140309155766941,-0.008532517046704255,-0.01325784217189485,0.005720053835800865
2021-02-05,-0.002570694087403658,0.004460518384569072,-0.005063934287407924,-0.0031339093342620176,-0.02020228193368399,-0.0058657992836781605,0.015920368620037834,-0.0043304463690872425
2021-02-08,0.006283068783068826,-0.012793335675453663,0.007524378310895226,-0.005189606296360046,0.033701948393891554,0.033550116845709285,-0.006341230647173451,0.005301524188204113
2021-02-09,0.007262351624926359,-0.0003137538842127383,0.004766045687146765,0.013960665437081101,0.042395327515365545,0.0009122502172023932,-0.008471411901983653,-0.00206379476997838
2021-02-10,0.007847309968743669,-0.011969206496014772,-0.0021205394122129364,-0.00938454435684347,-0.001285553591515319,0.01087274920306702,-0.0423789794382108,-0.007083065035415289
2021-02-11,-0.007954769574649953,-0.004719564741108662,-0.007854349469256443,-0.014606224675761269,0.0008249757360077958,0.009082451447842936,-0.001148218540164253,-0.003257328990227944
2021-02-12,0.004911591355599284,0.0020135343994187116,0.0015956429715882595,-0.00942857142857138,0.010813643926788607,0.008142110831900468,0.0106540880503145,0.005232177894048402
2021-02-16,0.02003231017770601,-0.0013131715081575693,-0.0006123896087152637,-0.001367066293721372,-0.013702211881207713,0.0013970661610618231,-0.026546832966495383,0.009554140127388559
2021-02-17,-0.01873610670053985,0.015325647001103894,-0.00239426661524619,-0.016040349813836587,-0.02229134266459304,-0.02039012345679003,0.004968139808566312,-0.010841836734693874
2021-02-18,-0.007124352331606181,0.00934969759047886,-0.005283505154639131,-0.01162970720823276,-0.010110128181982349,-0.003201907519373236,0.004514269682981047,-0.013137508069722402
2021-02-19,0.03575737351438765,-0.006336272459715735,0.01164880302933058,-0.010171472398239715,-0.013459673073468747,0.00021517122664150068,-0.009209201651062095,-0.001926782273603156
2021-02-22,0.015138461538461457,-0.004007034918892595,0.009358288770053468,-0.0001962396740550677,-0.036798746774788005,-0.0009634725579352107,-0.02106155159955324,0.01791102514506776
2021-02-23,-0.009714632665452347,0.0031925908881731083,0.0011662726556343722,0.009969100513101528,0.0060632308358597045,-0.013996389181845679,0.010954106893677026,0.0038535645472061977
2021-02-24,0.009055690072639197,-0.0052804676354362675,0.017750007771456928,0.020098048250059848,0.04174908796108632,-0.0028318584070796864,0.021262127755033316,0.01110406091370563
2021-02-25,-0.026486168334314265,-0.009232200845780435,-0.005356927892139078,-0.005217264402203474,-0.058207422563184126,-0.030376067770176846,-0.0316335708849374,-0.008392912651538798
2021-02-26,0.0002996703626012921,0.004899676375404489,-0.012309765134580587,0.003047778953899987,0.007521458090494875,-0.0037698051356766524,-0.016382447377809514,-0.008911521323997489
2021-03-01,-0.003952336007550741,-0.002065264925289696,0.0019941708851051823,0.012341824459586084,0.020799011532125163,-0.007981838165078017,0.03176531852108998,-0.00031786395422764025
2021-03-02,0.0,-0.00566257173544165,-0.0009829719021262095,-0.0040973204249610045,-0.02207167832167828,-0.017054375485012083,-0.02426950918692827,-0.0037617554858933367
2021-03-03,0.003616125150421088,-0.01573956587855835,0.01125591707112471,-0.030799320038750518,-0.035002801120448124,-0.027359985089926292,-0.011285805155043965,0.009638554216867535
2021-03-04,-0.001232665639445493,0.0031816546584508007,-0.006728318216847418,0.00740472146415007,0.0001642024051976715,-0.01522420396951302,-0.03402620670806694,-0.0028753993610223594
2021-03-05,-0.06590619471216314,-0.025108852925746206,-0.040915893445076366,-0.014920329852769431,-0.12270408163265312,-0.04074408705778421,-0.09099367921198707,-0.011516314779270728
2021-03-08,0.016466117796073564,-0.005833004113313712,0.01712090504854964,-0.009516025453908549,-0.006216773118878564,-0.03520813986352808,-0.028273809523809482,0.0009517766497462289
2021-03-09,0.0019249999999999545,0.015158105851061941,0.021470337434523118,0.00033564666278361466,0.08666134185303502,0.02522680412371137,0.05523844990261619,0.009658725048293649
2021-03-10,0.01047443006777561,-0.01060191961452268,0.01960725302836519,-0.007254997562164851,-0.037740164684354954,-0.0033000707158010664,-0.029938798747509206,-0.007982120051085569
2021-03-11,0.007931665649786394,0.007333946108074043,0.010750477309443458,0.0009569751772357266,-0.011403092899875804,0.003971105112919119,-0.011315132189823598,0.004800518975024432
2021-03-12,0.007546030787805614,-0.0028040966454814906,0.011304853240337072,-0.009981780827228037,0.0416762606493208,0.0109482344712305,0.02154295976371757,-0.001934235976789127
2021-03-15,0.0032286995515694162,-0.007773202324793495,-0.019782037086312477,-0.009253353443980605,-0.017207365190705756,0.01201434723018763,0.013055207979227525,-0.010485991624192462
2021-03-16,-0.006522383634746483,0.0036400783619000053,-0.008869565217391311,0.011647089940042472,0.004890024439013601,0.004214745991308257,-0.0025682616923492128,-0.00834403080872919
2021-03-17,0.010955569080949466,0.00017523990017829635,-0.0009315866084424838,-0.007757459095283874,0.005017912586577602,-0.004230813309393586,0.015144016628724043,0.010960670535138616
2021-03-18,-0.008902077151335437,-0.0075104804901644515,0.018218970592438054,-0.004118984242942362,-0.0010359116022098205,-0.011287136235848353,-0.015736558356403838,0.014027431421446473
2021-03-19,0.0039062499999998634,0.00019075370736405583,-0.0034114892017693683,0.003869235628553339,0.03217581350169992,-0.0018273716951787344,0.0106081499256236,0.0037783375314860653
2021-03-22,-0.003347534996956769,0.009160077383502706,-0.010057009209179938,0.02727095135768712,-0.02350056497175148,0.02240675092478421,0.002710461507074907,0.003443957420162676
