Dates,AMZN,NFLX,TSLA
2021-02-01,0.015982466077277338,0.008632366697848518,0.016274153104872426
2021-02-02,-0.0003264705882353316,0.02506979237922694,0.03936444486494168
2021-02-03,-0.006971580556906312,-0.01176063645797288,-0.009873837473047159
2021-02-04,-0.0015823070397622983,-0.0019353055017969857,-0.01325784217189485
2021-02-05,0.004460518384569072,-0.0031339093342620176,0.015920368620037834
2021-02-08,-0.012793335675453663,-0.005189606296360046,-0.006341230647173451
2021-02-09,-0.0003137538842127383,0.013960665437081101,-0.008471411901983653
2021-02-10,-0.011969206496014772,-0.00938454435684347,-0.0423789794382108
2021-02-11,-0.004719564741108662,-0.014606224675761269,-0.001148218540164253
2021-02-12,0.0020135343994187116,-0.00942857142857138,0.0106540880503145
2021-02-16,-0.0013131715081575693,-0.001367066293721372,-0.026546832966495383
2021-02-17,0.015325647001103894,-0.016040349813836587,0.004968139808566312
2021-02-18,0.00934969759047886,-0.01162970720823276,0.004514269682981047
2021-02-19,-0.006336272459715735,-0.010171472398239715,-0.009209201651062095
2021-02-22,-0.004007034918892595,-0.0001962396740550677,-0.02106155159955324
2021-02-23,0.0031925908881731083,0.009969100513101528,0.010954106893677026
2021-02-24,-0.0052804676354362675,0.020098048250059848,0.021262127755033316
2021-02-25,-0.009232200845780435,-0.005217264402203474,-0.0316335708849374
2021-02-26,0.004899676375404489,0.003047778953899987,-0.016382447377809514
2021-03-01,-0.002065264925289696,0.012341824459586084,0.03176531852108998
2021-03-02,-0.00566257173544165,-0.0040973204249610045,-0.02426950918692827
2021-03-03,-0.01573956587855835,-0.030799320038750518,-0.011285805155043965
2021-03-04,0.0031816546584508007,0.00740472146415007,-0.03402620670806694
2021-03-05,-0.025108852925746206,-0.014920329852769431,-0.09099367921198707
2021-03-08,-0.005833004113313712,-0.009516025453908549,-0.028273809523809482
2021-03-09,0.015158105851061941,0.00033564666278361466,0.05523844990261619
2021-03-10,-0.01060191961452268,-0.007254997562164851,-0.029938798747509206
2021-03-11,0.007333946108074043,0.0009569751772357266,-0.011315132189823598
2021-03-12,-0.0028040966454814906,-0.009981780827228037,0.02154295976371757
2021-03-15,-0.007773202324793495,-0.009253353443980605,0.013055207979227525
2021-03-16,0.0036400783619000053,0.011647089940042472,-0.0025682616923492128
2021-03-17,0.00017523990017829635,-0.007757459095283874,0.015144016628724043
2021-03-18,-0.0075104804901644515,-0.004118984242942362,-0.015736558356403838
2021-03-19,0.00019075370736405583,0.003869235628553339,0.0106081499256236
2021-03-22,0.009160077383502706,0.02727095135768712,0.002710461507074907
2021-03-23,0.012048154267507315,0.014252718156723625,-0.005680554113581479
2021-03-24,-0.0027755107225536546,-0.005299573922551793,-0.012125722619396727
2021-03-25,-0.004887888139050642,-0.021006123556313417,0.024453441295546597
2021-03-26,-0.00216639914919609,0.00023809051407711068,-0.03175578390496244
2021-03-29,0.0051639167228435395,0.0065507137712972055,-0.011442131096916741
2021-03-30,-0.005719201853608045,-0.004808726078542486,0.034830643027255984
2021-03-31,0.01708445702471519,0.021359565602304627,0.022054601046080362
2021-04-01,0.0013024375102003462,0.008031824209130534,-0.018550436738628794
2021-04-05,0.01497536697218771,-0.0067921742340346074,-0.01557225925400655
2021-04-06,0.004665682894769532,0.0028582908699067715,0.0034795215657846715
2021-04-07,0.018664299346409317,0.008128886480329847,-0.0009708525253116251
2021-04-08,-0.00016297704739914697,-0.001203369434416222,0.01641107466832129
2021-04-09,0.013985230239842024,0.0007246770657825194,-0.002690317812269106
2021-04-12,0.0022003377815837948,0.0005617264935581667,0.01709305635643024
2021-04-13,0.005582722325605963,-0.00279887684941874,0.03780232737685827
2021-04-14,-0.00992634627541501,-0.017262689965485457,-0.016579122297094778
2021-04-15,-0.003977026890865899,0.012795021908023207,-0.011792963464140774
2021-04-16,0.0028592548787699803,-0.008074658695295464,0.001986555907749569
2021-04-19,-0.005082936781710798,-0.007637737490147105,-0.009614580720675498
2021-04-20,-0.015967366657391364,-0.08671861006627256,-0.016203884035390383
2021-04-21,0.0040693427936858385,-0.004959512204594391,0.0227491144732146
2021-04-22,-0.008434237995824694,0.014783943847334917,-0.02228025789602546
2021-04-23,0.001021300994126048,0.006690725441657489,0.01251890095219924
2021-04-26,0.03175564100181916,0.007968794633622519,-0.024973961472460064
2021-04-27,0.003402700565268482,-0.00582780413852855,-0.021346929627969535
2021-04-28,0.012224007755046663,0.0013584860888651833,0.0035402014485122375
2021-04-29,0.014111257158408497,0.014591381277396296,-0.008299617683085308
2021-04-30,-0.007986769507135689,-0.00025345577196778275,0.0013370315055828955
2021-05-03,-0.01574359591241557,0.0016855926188786732,-0.008186382374342578
2021-05-04,0.015972856186476855,0.014586761931521754,0.02791632659230378
2021-05-05,-0.013867069486404862,-0.015370113689921002,0.0001472103636096316
2021-05-06,0.0024888124549621226,0.017216265425854724,-0.00025339442954580007
2021-05-07,-0.014066762112877725,-0.008058463361643262,-0.01760495546894681
2021-05-10,-0.025068168916215033,-0.03395679689307885,-0.06477616794567
2021-05-11,-0.006669838338044142,-0.01028069536356826,-0.006973182573560515
2021-05-12,0.015919835658018775,0.00566642131363924,0.00867195988299204
2021-05-13,0.015102625298329368,0.0048465266558965275,0.023529039538489064
2021-05-14,0.013647975077881604,-0.011741046943874605,-0.004548346602926731
2021-05-17,0.010657346616046282,0.0016048722274804115,-0.011033186572229141
2021-05-18,-0.026374970709692754,-0.022279856232641775,-0.05702619938754676
2021-05-19,0.007852557130693643,0.01093397363892125,0.03835270793908258
